Marca temporal,Proporciona tu fecha de nacimiento,Signo Zodiacal,¿Te gusta comer en restaurantes? ,¿Te gusta salir de picnic (día de campo)?,¿Te gustan los abrazos?,¿Te gusta dar regalos?,¿Te gusta recibir regalos?,¿Haces actos de servicio por los demás?,¿Te gusta recibir cumplidos?,¿Te gustaría vivir en una cabaña en medio de un bosque lluvioso?,¿Te gustaría vivir en una cabaña en medio de la playa?,¿Te gustaría vivir en una cabaña en medio del bosque?,¿Te gustaría vivir en un oasis en medio del desierto?
27/07/2024 14:38,18/11/2002,Escorpion,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Nada,Poco Frecuente,Nada
27/07/2024 14:42,12/03/2003,piscis,Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Nada
27/07/2024 14:56,21/09/1999,libra,Poco Frecuente,Frecuente,Nada,Muy Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Nada,Muy Frecuente,Nada
27/07/2024 15:09,25/05/2002,geminis,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente
27/07/2024 15:12,01/11/2001,Escorpion,Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Nada,Poco Frecuente,Poco Frecuente
27/07/2024 15:13,17/01/2001,capricornio,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Nada
27/07/2024 16:18,27/07/2005,leo,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Nada
27/07/2024 16:32,27/01/2003,acuario,Frecuente,Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente
27/07/2024 21:22,03/01/2003,capricornio,Poco Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente
27/07/2024 21:58,21/03/2003,aries,Poco Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Frecuente
27/07/2024 22:02,27/07/2003,leo,Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Nada
27/07/2024 23:35,14/01/1986,capricornio,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente
28/07/2024 17:53,10/04/1999,aries,Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Nada
28/07/2024 17:56,20/09/2002,virgo,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Nada
28/07/2024 18:00,10/06/1983,geminis,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente
28/07/2024 18:00,13/11/2001,Escorpion,Poco Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Nada
28/07/2024 18:06,10/02/2001,acuario,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Nada,Poco Frecuente,Nada,Nada,Nada,Nada,Nada
28/07/2024 18:14,21/11/2002,sagitario,Poco Frecuente,Nada,Poco Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Nada,Nada,Nada,Nada
28/07/2024 18:21,29/04/1999,tauro,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente
28/07/2024 18:35,07/02/2003,acuario,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente
28/07/2024 18:43,17/01/2002,capricornio,Poco Frecuente,Nada,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Poco Frecuente,Nada,Nada,Nada
28/07/2024 18:50,13/01/1999,capricornio,Poco Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Nada
28/07/2024 19:23,14/04/2002,aries,Poco Frecuente,Nada,Nada,Poco Frecuente,Poco Frecuente,Poco Frecuente,Nada,Muy Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente
28/07/2024 19:26,25/05/1997,geminis,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente
28/07/2024 19:42,15/08/2002,leo,Poco Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Nada,Nada,Nada,Nada
28/07/2024 20:19,02/08/2002,leo,Frecuente,Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Nada,Muy Frecuente,Nada
28/07/2024 20:19,23/08/2002,virgo,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente
28/07/2024 21:34,24/12/0088,,Poco Frecuente,Nada,Muy Frecuente,Frecuente,Poco Frecuente,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Nada
28/07/2024 22:28,16/06/1969,geminis,Frecuente,Nada,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Nada,Nada
29/07/2024 07:23,08/03/2002,piscis,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente
29/07/2024 10:13,02/10/1993,libra,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Nada,Muy Frecuente,Nada
29/07/2024 17:05,28/03/1962,aries,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Nada,Poco Frecuente,Nada
29/07/2024 17:07,16/10/1958,libra,Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente
30/07/2024 13:11,16/10/1958,libra,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente
30/07/2024 13:12,30/07/1990,leo,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:13,30/07/2001,leo,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:13,30/07/1998,leo,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Nada,Frecuente,Nada
30/07/2024 13:13,14/01/2004,capricornio,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Poco Frecuente
30/07/2024 13:14,30/07/1980,leo,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente
30/07/2024 13:14,18/10/1996,libra,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente
30/07/2024 13:14,30/07/2003,leo,Poco Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente
30/07/2024 13:15,13/09/2000,virgo,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:17,30/07/2001,leo,Poco Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente
30/07/2024 13:18,30/07/2003,leo,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente
30/07/2024 13:19,30/07/1999,leo,Poco Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente
30/07/2024 13:19,20/05/2003,tauro,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:20,13/10/2004,libra,Frecuente,Poco Frecuente,Frecuente,Nada,Muy Frecuente,Nada,Muy Frecuente,Nada,Nada,Poco Frecuente,Frecuente
30/07/2024 13:20,20/10/1988,libra,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente
30/07/2024 13:20,25/09/2000,libra,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:21,30/07/1998,leo,Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:21,12/11/2015,Escorpion,Poco Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Nada,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:22,20/05/2004,tauro,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Poco Frecuente
30/07/2024 13:23,17/10/2002,libra,Poco Frecuente,Poco Frecuente,Frecuente,Nada,Muy Frecuente,Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente
30/07/2024 13:24,20/02/2002,piscis,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:25,11/02/2001,acuario,Muy Frecuente,Poco Frecuente,Poco Frecuente,Nada,Nada,Poco Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:40,30/07/2000,leo,Muy Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente
30/07/2024 13:41,19/09/2002,virgo,Muy Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente
30/07/2024 13:41,16/09/2004,virgo,Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente
30/07/2024 13:42,15/10/2004,libra,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente
30/07/2024 13:42,14/02/2001,acuario,Poco Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente,Muy Frecuente
30/07/2024 13:43,30/07/1999,leo,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente
30/07/2024 13:43,19/09/2003,virgo,Muy Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente,Poco Frecuente,Nada,Nada,Nada,Muy Frecuente
30/07/2024 13:44,30/07/2007,leo,Poco Frecuente,Muy Frecuente,Nada,Muy Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Poco Frecuente
30/07/2024 13:44,14/08/2001,leo,Poco Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente
30/07/2024 13:44,30/07/1996,leo,Muy Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente
30/07/2024 13:45,30/07/2002,leo,Muy Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:45,10/09/1998,virgo,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Poco Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:45,15/05/2001,tauro,Poco Frecuente,Muy Frecuente,Poco Frecuente,Nada,Muy Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Poco Frecuente,Nada,Frecuente
30/07/2024 13:46,30/07/2005,leo,Poco Frecuente,Frecuente,Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente
30/07/2024 13:46,30/07/2010,leo,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Muy Frecuente
30/07/2024 13:46,13/09/2001,virgo,Nada,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Frecuente,Frecuente,Frecuente,Frecuente
30/07/2024 13:47,30/07/2002,leo,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:47,16/09/1983,virgo,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Frecuente,Frecuente,Muy Frecuente,Frecuente
30/07/2024 13:48,06/09/2001,virgo,Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Nada,Poco Frecuente
30/07/2024 13:48,21/09/1999,libra,Poco Frecuente,Nada,Nada,Nada,Poco Frecuente,Nada,Nada,Muy Frecuente,Nada,Nada,Nada
30/07/2024 13:49,16/05/2000,tauro,Poco Frecuente,Muy Frecuente,Muy Frecuente,Nada,Muy Frecuente,Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Frecuente,Poco Frecuente
30/07/2024 13:50,30/07/2003,leo,Poco Frecuente,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Frecuente,Poco Frecuente,Poco Frecuente,Frecuente,Frecuente
31/07/2024 03:48,14/02/2006,acuario,Muy Frecuente,Poco Frecuente,Frecuente,Poco Frecuente,Muy Frecuente,Muy Frecuente,Frecuente,Muy Frecuente,Frecuente,Frecuente,Muy Frecuente
